,Unnamed: 0,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,cluster
834,834,Attrited Customer,46,F,3,Graduate,Single,Less than $40K,Blue,28,2,2,3,8551.0,1067,7484.0,0.931,1097,32,0.778,0.125,2.0
835,835,Existing Customer,47,M,3,High School,Married,$60K - $80K,Blue,36,6,2,3,10569.0,0,10569.0,0.838,1682,44,1.0,0.0,0.0
836,836,Existing Customer,47,F,3,Graduate,Married,Less than $40K,Blue,36,5,2,2,7051.0,0,7051.0,0.527,1451,37,0.194,0.0,2.0
837,837,Existing Customer,56,M,1,College,Married,$60K - $80K,Blue,46,3,2,1,10117.0,2242,7875.0,0.662,1509,44,0.467,0.222,2.0
839,839,Existing Customer,47,M,4,Graduate,Single,$80K - $120K,Blue,41,5,3,2,26442.0,1642,24800.0,0.651,1403,40,0.429,0.062,2.0
840,840,Existing Customer,64,F,0,Graduate,Married,Less than $40K,Blue,51,6,3,1,4920.0,1142,3778.0,0.507,1420,31,0.348,0.232,1.0
842,842,Existing Customer,42,M,1,College,Married,$60K - $80K,Silver,29,5,2,2,26750.0,1204,25546.0,0.428,1131,29,0.318,0.045,1.0
843,843,Existing Customer,41,M,4,College,Married,$80K - $120K,Silver,34,4,3,3,34516.0,1347,33169.0,0.801,1005,22,1.0,0.039,2.0
844,844,Existing Customer,65,F,0,High School,Married,Less than $40K,Blue,36,3,3,2,1438.3,747,691.3,0.491,948,24,0.714,0.519,0.0
845,845,Existing Customer,49,F,3,Post-Graduate,Married,$40K - $60K,Blue,41,6,2,2,1869.0,758,1111.0,0.91,1549,34,0.478,0.406,1.0
846,846,Attrited Customer,54,M,5,High School,Married,$60K - $80K,Blue,36,5,2,3,14539.0,0,14539.0,0.907,965,26,0.529,0.0,0.0
847,847,Existing Customer,46,M,3,Uneducated,Single,$120K +,Blue,36,5,1,3,26977.0,1961,25016.0,0.641,1958,41,1.05,0.073,2.0
850,850,Existing Customer,48,F,1,Doctorate,Married,Less than $40K,Blue,39,3,3,3,4844.0,1576,3268.0,0.809,1489,48,0.6,0.325,2.0
852,852,Existing Customer,39,F,1,College,Married,Less than $40K,Blue,22,3,1,2,3214.0,2257,957.0,1.279,2516,42,0.75,0.702,2.0
854,854,Attrited Customer,41,M,2,Uneducated,Married,$80K - $120K,Blue,33,5,3,3,8004.0,1452,6552.0,0.929,1084,32,0.524,0.181,0.0
857,857,Existing Customer,39,F,2,Uneducated,Single,Less than $40K,Blue,35,5,3,3,9235.0,1479,7756.0,0.843,1537,49,0.581,0.16,0.0
858,858,Existing Customer,44,M,0,Uneducated,Married,Less than $40K,Blue,24,5,3,0,8837.0,2103,6734.0,0.559,3753,60,0.875,0.238,2.0
862,862,Existing Customer,26,F,1,Graduate,Single,$40K - $60K,Blue,20,6,3,3,1438.3,673,765.3,0.595,2167,48,0.412,0.468,2.0
864,864,Existing Customer,47,M,4,High School,Married,$60K - $80K,Blue,34,5,2,3,4592.0,1635,2957.0,0.952,1772,52,0.486,0.356,2.0
865,865,Attrited Customer,57,F,2,High School,Married,$40K - $60K,Blue,45,2,1,3,1438.3,0,1438.3,1.036,1254,35,0.842,0.0,0.0
867,867,Existing Customer,54,M,4,Graduate,Married,$60K - $80K,Blue,49,3,1,2,5269.0,1099,4170.0,1.178,2195,63,0.969,0.209,0.0
869,869,Existing Customer,39,M,2,College,Married,$60K - $80K,Blue,35,4,3,2,7410.0,2517,4893.0,1.924,2398,37,1.176,0.34,0.0
870,870,Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,44,3,2,3,12163.0,2082,10081.0,1.554,2649,56,0.697,0.171,1.0
872,872,Existing Customer,59,M,0,College,Married,Less than $40K,Blue,49,3,3,3,4250.0,1095,3155.0,0.947,1174,27,0.8,0.258,2.0
874,874,Existing Customer,34,F,3,Uneducated,Married,$40K - $60K,Blue,28,5,1,3,2799.0,1762,1037.0,0.986,1817,39,0.56,0.63,2.0
875,875,Existing Customer,47,M,4,Doctorate,Single,$80K - $120K,Blue,36,3,1,1,18037.0,0,18037.0,0.74,1387,36,0.333,0.0,0.0
876,876,Existing Customer,54,M,2,College,Married,$120K +,Blue,43,3,2,3,5657.0,1719,3938.0,0.606,2028,55,0.667,0.304,0.0
878,878,Existing Customer,53,F,3,College,Married,Less than $40K,Blue,44,6,2,3,4646.0,1730,2916.0,0.683,1774,37,0.85,0.372,2.0
879,879,Existing Customer,50,M,2,Graduate,Single,$80K - $120K,Blue,35,3,3,1,2514.0,1521,993.0,0.638,1636,36,0.385,0.605,2.0
880,880,Attrited Customer,56,M,0,College,Married,$80K - $120K,Blue,51,3,2,3,14501.0,0,14501.0,0.854,1031,25,0.389,0.0,0.0
881,881,Attrited Customer,43,M,3,High School,Married,$60K - $80K,Blue,36,1,3,3,8663.0,288,8375.0,0.639,916,33,0.32,0.033,2.0
882,882,Existing Customer,44,F,4,High School,Divorced,Less than $40K,Blue,36,5,3,3,2333.0,1485,848.0,0.692,1198,31,0.722,0.637,1.0
883,883,Existing Customer,34,F,4,Graduate,Divorced,$40K - $60K,Blue,26,5,5,3,3038.0,1539,1499.0,0.707,2189,54,0.688,0.507,2.0
887,887,Attrited Customer,56,M,3,High School,Single,$60K - $80K,Blue,45,2,1,3,8512.0,0,8512.0,1.038,811,27,1.25,0.0,2.0
888,888,Existing Customer,47,M,1,Graduate,Married,$60K - $80K,Blue,36,4,3,2,19063.0,1714,17349.0,0.786,1270,21,0.615,0.09,2.0
889,889,Existing Customer,53,M,4,Graduate,Single,$80K - $120K,Blue,33,5,3,3,5376.0,1177,4199.0,0.939,1840,53,0.606,0.219,2.0
891,891,Existing Customer,39,F,2,High School,Married,$40K - $60K,Blue,29,6,1,1,9173.0,2047,7126.0,1.419,1807,33,0.737,0.223,0.0
892,892,Existing Customer,44,M,2,Graduate,Married,$80K - $120K,Silver,35,4,1,3,34516.0,1726,32790.0,0.867,1729,52,0.677,0.05,0.0
894,894,Existing Customer,46,M,2,Graduate,Married,$60K - $80K,Blue,36,3,2,3,15405.0,1691,13714.0,0.814,1763,44,0.189,0.11,2.0
896,896,Existing Customer,35,M,1,High School,Married,$80K - $120K,Blue,25,6,1,2,23991.0,2307,21684.0,0.912,1843,43,0.72,0.096,2.0
897,897,Existing Customer,39,F,4,College,Married,Less than $40K,Blue,31,4,3,3,1888.0,1292,596.0,0.772,1517,33,1.357,0.684,0.0
898,898,Existing Customer,61,F,1,Graduate,Married,Less than $40K,Blue,54,3,2,2,3102.0,2091,1011.0,0.704,1977,50,1.0,0.674,2.0
899,899,Existing Customer,40,F,3,Graduate,Divorced,Less than $40K,Blue,29,5,2,2,3170.0,2517,653.0,1.301,2027,49,0.815,0.794,0.0
900,900,Existing Customer,53,M,3,College,Single,$120K +,Blue,36,6,2,0,34516.0,1901,32615.0,0.914,1497,43,1.15,0.055,2.0
903,903,Existing Customer,35,M,2,Uneducated,Married,Less than $40K,Blue,36,4,3,3,3131.0,629,2502.0,0.749,1483,31,0.632,0.201,0.0
905,905,Attrited Customer,51,M,2,Uneducated,Single,$120K +,Blue,39,3,3,1,16868.0,0,16868.0,0.938,940,25,0.471,0.0,2.0
906,906,Existing Customer,42,M,3,High School,Single,$40K - $60K,Blue,35,4,3,3,3266.0,1900,1366.0,1.568,2183,56,0.75,0.582,1.0
908,908,Existing Customer,46,F,4,High School,Single,Less than $40K,Blue,40,3,2,2,3556.0,2172,1384.0,0.402,1221,41,0.708,0.611,0.0
909,909,Existing Customer,46,M,4,Uneducated,Married,$40K - $60K,Blue,35,3,2,2,9149.0,1566,7583.0,0.971,1790,60,0.765,0.171,1.0
911,911,Existing Customer,46,M,3,High School,Married,$60K - $80K,Blue,35,4,3,3,14701.0,1635,13066.0,0.618,3490,69,0.533,0.111,2.0
912,912,Existing Customer,62,M,1,Graduate,Married,$60K - $80K,Blue,44,5,2,2,14825.0,962,13863.0,0.76,1904,49,0.531,0.065,2.0
913,913,Existing Customer,55,M,2,Uneducated,Divorced,$60K - $80K,Blue,49,4,5,3,10127.0,1873,8254.0,0.573,1647,53,0.472,0.185,2.0
914,914,Existing Customer,55,M,2,College,Married,$80K - $120K,Blue,45,5,1,2,2929.0,2431,498.0,1.632,1903,39,0.625,0.83,2.0
915,915,Existing Customer,32,M,0,High School,Married,$40K - $60K,Blue,24,5,2,0,3735.0,1176,2559.0,1.184,1564,41,0.708,0.315,2.0
916,916,Existing Customer,37,F,4,Uneducated,Married,Less than $40K,Blue,18,5,1,2,2930.0,2024,906.0,0.903,1686,34,0.7,0.691,0.0
918,918,Existing Customer,42,M,2,College,Married,$80K - $120K,Blue,32,5,2,2,22120.0,1805,20315.0,0.65,3981,65,0.667,0.082,0.0
919,919,Existing Customer,33,M,2,Post-Graduate,Married,$80K - $120K,Blue,22,3,3,3,1438.3,681,757.3,1.542,2730,48,0.778,0.473,0.0
921,921,Attrited Customer,65,M,1,High School,Married,Less than $40K,Blue,47,3,2,1,1759.0,0,1759.0,1.058,821,18,0.5,0.0,2.0
922,922,Attrited Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,36,3,3,3,4829.0,2418,2411.0,0.601,938,21,0.4,0.501,2.0
924,924,Existing Customer,45,F,5,Graduate,Married,Less than $40K,Blue,39,4,3,2,2156.0,1208,948.0,0.569,1345,28,0.647,0.56,0.0
925,925,Existing Customer,62,M,1,Uneducated,Married,$60K - $80K,Blue,36,6,3,3,9521.0,1669,7852.0,1.308,2444,63,0.4,0.175,0.0
926,926,Existing Customer,51,M,2,College,Single,$120K +,Blue,41,6,3,2,26714.0,2517,24197.0,0.758,1686,50,0.724,0.094,2.0
927,927,Existing Customer,57,M,2,Graduate,Married,$80K - $120K,Blue,47,6,2,3,2092.0,1387,705.0,0.731,1468,30,0.304,0.663,0.0
929,929,Existing Customer,32,F,0,Graduate,Married,Less than $40K,Blue,19,6,1,0,2834.0,1418,1416.0,1.458,1598,39,0.773,0.5,0.0
930,930,Existing Customer,43,F,4,Graduate,Married,Less than $40K,Blue,37,4,3,2,4724.0,2056,2668.0,0.423,1232,31,0.55,0.435,1.0
934,934,Existing Customer,53,F,1,Doctorate,Married,Less than $40K,Blue,36,3,1,2,3128.0,2517,611.0,0.696,2361,42,0.826,0.805,0.0
935,935,Attrited Customer,42,M,2,Uneducated,Single,$60K - $80K,Blue,30,2,2,3,6414.0,0,6414.0,0.718,708,14,0.4,0.0,2.0
936,936,Existing Customer,53,M,3,Graduate,Single,$80K - $120K,Blue,34,6,3,0,2506.0,0,2506.0,0.598,1687,62,0.59,0.0,0.0
938,938,Existing Customer,60,F,2,High School,Married,Less than $40K,Blue,36,4,3,2,3460.0,2517,943.0,1.144,1752,34,1.125,0.727,0.0
939,939,Existing Customer,30,M,1,Graduate,Married,$80K - $120K,Blue,19,5,3,2,9959.0,2377,7582.0,1.1,1560,39,0.696,0.239,2.0
940,940,Existing Customer,43,F,3,Uneducated,Married,Less than $40K,Blue,39,4,1,2,4175.0,2517,1658.0,0.551,1520,36,0.44,0.603,2.0
941,941,Existing Customer,60,M,1,Uneducated,Married,$60K - $80K,Blue,48,3,1,3,10264.0,2073,8191.0,0.62,1685,45,0.364,0.202,2.0
942,942,Existing Customer,46,M,2,High School,Single,$40K - $60K,Blue,36,4,3,3,4129.0,0,4129.0,0.96,1678,40,1.0,0.0,1.0
943,943,Existing Customer,65,F,2,High School,Married,$40K - $60K,Blue,45,6,2,2,2658.0,1514,1144.0,1.193,1627,26,1.0,0.57,2.0
944,944,Existing Customer,44,F,2,College,Single,$40K - $60K,Blue,33,4,2,3,4589.0,1240,3349.0,0.856,1637,61,0.906,0.27,2.0
945,945,Existing Customer,56,F,2,College,Married,Less than $40K,Blue,36,6,1,2,2781.0,1035,1746.0,0.816,1707,42,1.211,0.372,0.0
948,948,Existing Customer,48,M,2,High School,Married,$80K - $120K,Blue,39,5,1,3,8091.0,1996,6095.0,0.646,1360,28,0.647,0.247,0.0
949,949,Existing Customer,37,F,4,College,Married,$40K - $60K,Blue,30,4,4,3,3417.0,2517,900.0,0.992,1641,32,0.882,0.737,2.0
950,950,Existing Customer,39,M,1,Uneducated,Single,$60K - $80K,Blue,22,4,3,3,9204.0,845,8359.0,0.673,1820,58,0.611,0.092,2.0
951,951,Existing Customer,41,M,2,Graduate,Married,$120K +,Blue,32,5,2,3,14302.0,2097,12205.0,0.407,1505,35,0.591,0.147,2.0
952,952,Existing Customer,55,F,2,High School,Married,Less than $40K,Blue,45,5,2,0,3187.0,2517,670.0,1.144,1627,38,0.652,0.79,0.0
953,953,Existing Customer,34,M,1,Graduate,Married,$80K - $120K,Blue,36,5,3,2,6313.0,782,5531.0,0.931,1703,34,0.889,0.124,2.0
955,955,Existing Customer,54,F,0,Post-Graduate,Single,Less than $40K,Silver,39,6,2,3,11696.0,2288,9408.0,0.973,2445,60,0.765,0.196,0.0
956,956,Existing Customer,40,M,3,Post-Graduate,Married,$80K - $120K,Blue,36,5,3,2,20371.0,1832,18539.0,0.907,1665,45,0.8,0.09,2.0
957,957,Existing Customer,52,M,0,High School,Married,$120K +,Silver,41,3,3,1,34516.0,1043,33473.0,0.562,1489,38,0.357,0.03,0.0
958,958,Existing Customer,45,M,3,Graduate,Single,$60K - $80K,Blue,33,3,1,3,7552.0,0,7552.0,0.463,1393,32,0.455,0.0,1.0
959,959,Existing Customer,61,M,0,Post-Graduate,Married,$40K - $60K,Blue,53,5,1,2,5561.0,1434,4127.0,1.423,1820,42,0.826,0.258,0.0
960,960,Existing Customer,57,F,2,High School,Married,Less than $40K,Blue,52,6,3,2,1441.0,0,1441.0,1.364,2742,58,0.758,0.0,0.0
963,963,Existing Customer,48,F,2,College,Married,Less than $40K,Blue,44,5,1,3,4570.0,2439,2131.0,0.693,1520,34,0.7,0.534,0.0
964,964,Existing Customer,34,M,0,High School,Married,$40K - $60K,Blue,13,3,3,2,3870.0,1394,2476.0,0.827,1588,36,0.714,0.36,2.0
965,965,Existing Customer,49,M,4,High School,Married,$60K - $80K,Blue,36,6,3,2,12938.0,661,12277.0,0.725,1282,32,0.778,0.051,1.0
966,966,Existing Customer,53,M,3,High School,Married,$120K +,Blue,36,3,1,3,21178.0,1796,19382.0,1.182,1872,59,1.107,0.085,0.0
967,967,Existing Customer,34,M,2,Uneducated,Single,$80K - $120K,Blue,36,3,2,0,12182.0,1136,11046.0,0.753,2295,63,0.5,0.093,0.0
968,968,Existing Customer,54,M,2,Graduate,Married,$60K - $80K,Blue,42,6,2,0,3583.0,0,3583.0,1.088,1065,28,1.545,0.0,2.0
969,969,Existing Customer,40,M,3,Graduate,Single,$120K +,Blue,27,4,2,3,17018.0,0,17018.0,0.69,1550,47,0.621,0.0,0.0
971,971,Attrited Customer,41,F,4,High School,Single,Less than $40K,Blue,36,6,2,3,4203.0,2517,1686.0,0.771,1489,43,0.536,0.599,2.0
972,972,Existing Customer,46,M,3,Graduate,Divorced,Less than $40K,Blue,36,5,1,3,4213.0,997,3216.0,0.668,1264,30,0.667,0.237,0.0
973,973,Existing Customer,46,M,4,Graduate,Married,$60K - $80K,Blue,33,6,2,2,21548.0,1180,20368.0,0.52,1582,38,0.652,0.055,2.0
975,975,Existing Customer,59,M,1,Post-Graduate,Married,$40K - $60K,Blue,36,4,2,2,2483.0,1372,1111.0,1.642,1704,35,0.458,0.553,2.0
976,976,Existing Customer,50,M,0,Doctorate,Single,$80K - $120K,Blue,38,5,2,2,3460.0,1881,1579.0,0.622,1546,35,1.059,0.544,2.0
979,979,Existing Customer,53,F,1,High School,Single,Less than $40K,Blue,36,3,2,2,2615.0,1772,843.0,0.611,1419,38,0.357,0.678,0.0
980,980,Existing Customer,42,F,1,Doctorate,Married,$40K - $60K,Blue,35,4,3,2,2985.0,2355,630.0,0.602,1065,27,0.588,0.789,2.0
981,981,Existing Customer,46,M,5,High School,Married,$40K - $60K,Silver,28,5,1,3,18797.0,2158,16639.0,0.446,1364,40,0.538,0.115,2.0
982,982,Existing Customer,33,M,1,Graduate,Married,$60K - $80K,Blue,22,3,1,3,2859.0,2517,342.0,1.254,2247,36,0.636,0.88,0.0
983,983,Existing Customer,46,F,2,Graduate,Married,Less than $40K,Blue,38,4,3,0,2888.0,2245,643.0,0.772,1111,26,0.368,0.777,2.0
984,984,Existing Customer,61,M,0,High School,Married,$60K - $80K,Blue,36,4,3,3,9172.0,1567,7605.0,1.451,1836,42,0.75,0.171,2.0
985,985,Existing Customer,42,M,5,Uneducated,Married,$40K - $60K,Blue,34,5,3,2,14281.0,1519,12762.0,0.256,1164,35,0.522,0.106,2.0
986,986,Existing Customer,47,F,4,Graduate,Single,Less than $40K,Blue,39,3,2,3,7353.0,1450,5903.0,0.739,2005,54,0.459,0.197,2.0
987,987,Existing Customer,47,F,2,Graduate,Single,Less than $40K,Blue,36,6,2,2,5145.0,0,5145.0,0.693,1588,35,0.944,0.0,2.0
988,988,Existing Customer,53,F,4,Graduate,Married,$40K - $60K,Blue,36,3,2,3,4753.0,2472,2281.0,1.274,2242,49,0.815,0.52,1.0
989,989,Existing Customer,46,F,3,Graduate,Single,Less than $40K,Blue,26,3,3,3,2171.0,1418,753.0,0.505,1415,45,0.406,0.653,2.0
990,990,Existing Customer,26,M,0,College,Divorced,Less than $40K,Blue,36,5,2,3,4150.0,456,3694.0,1.126,2483,74,0.542,0.11,2.0
991,991,Existing Customer,45,M,3,Graduate,Married,$60K - $80K,Blue,41,6,3,3,9106.0,2477,6629.0,0.515,1239,33,0.737,0.272,2.0
992,992,Existing Customer,36,M,2,High School,Divorced,$40K - $60K,Blue,36,3,3,2,2686.0,1733,953.0,0.706,2057,53,0.71,0.645,2.0
994,994,Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue,36,4,3,2,34516.0,549,33967.0,0.78,1629,32,0.778,0.016,2.0
995,995,Existing Customer,37,M,3,Graduate,Married,$120K +,Blue,25,3,3,0,15017.0,1733,13284.0,0.635,2076,58,0.487,0.115,0.0
996,996,Existing Customer,53,M,1,Uneducated,Married,$40K - $60K,Blue,43,3,1,2,4426.0,1530,2896.0,0.518,1231,34,0.214,0.346,2.0
997,997,Existing Customer,65,F,1,Post-Graduate,Married,$40K - $60K,Blue,52,5,3,3,2155.0,0,2155.0,1.423,1655,27,1.25,0.0,2.0
999,999,Existing Customer,38,M,0,Uneducated,Married,$60K - $80K,Blue,19,3,1,3,3238.0,2146,1092.0,0.673,1501,45,0.667,0.663,0.0
1000,1000,Existing Customer,52,M,2,High School,Married,$60K - $80K,Blue,46,5,3,0,14316.0,1081,13235.0,0.67,1313,36,0.636,0.076,2.0
1001,1001,Existing Customer,36,M,3,High School,Married,$80K - $120K,Blue,36,5,3,2,2607.0,1880,727.0,1.464,2045,39,0.95,0.721,1.0
1002,1002,Existing Customer,43,M,4,College,Married,$60K - $80K,Blue,24,3,5,4,6231.0,0,6231.0,1.054,1448,30,0.875,0.0,1.0
1004,1004,Existing Customer,65,F,0,Graduate,Married,Less than $40K,Blue,56,4,1,4,3094.0,2266,828.0,0.724,1591,37,0.321,0.732,0.0
1005,1005,Attrited Customer,51,F,2,Doctorate,Married,Less than $40K,Blue,41,2,2,3,6630.0,916,5714.0,0.927,842,24,0.5,0.138,0.0
1006,1006,Attrited Customer,40,M,3,Graduate,Divorced,$80K - $120K,Blue,22,2,2,3,1925.0,0,1925.0,0.672,781,28,0.75,0.0,2.0
1009,1009,Existing Customer,60,M,0,Uneducated,Married,$60K - $80K,Blue,47,3,3,3,9452.0,2517,6935.0,0.73,1825,50,0.613,0.266,2.0
1010,1010,Existing Customer,43,F,2,Uneducated,Single,$40K - $60K,Blue,29,6,3,2,2162.0,1377,785.0,0.6,1555,29,0.706,0.637,2.0
1011,1011,Existing Customer,31,M,2,Uneducated,Married,Less than $40K,Blue,18,3,2,4,1438.3,0,1438.3,1.561,2789,50,1.083,0.0,0.0
1012,1012,Existing Customer,55,M,1,Graduate,Single,$120K +,Blue,42,4,2,3,34516.0,1478,33038.0,0.967,1308,41,0.414,0.043,0.0
1013,1013,Existing Customer,65,F,1,College,Married,Less than $40K,Blue,54,3,3,3,2888.0,1134,1754.0,1.479,2489,54,0.742,0.393,2.0
1014,1014,Existing Customer,54,F,1,High School,Married,Less than $40K,Blue,44,3,3,3,3947.0,1746,2201.0,0.478,1110,21,0.4,0.442,0.0
1016,1016,Existing Customer,38,F,2,High School,Married,Less than $40K,Blue,27,4,1,2,1830.0,0,1830.0,0.736,1741,43,0.654,0.0,2.0
1017,1017,Existing Customer,36,M,2,Post-Graduate,Married,$60K - $80K,Blue,29,5,3,3,7712.0,2517,5195.0,0.676,1845,40,0.739,0.326,2.0
1019,1019,Existing Customer,41,M,3,Graduate,Married,$120K +,Blue,31,3,3,2,11789.0,1420,10369.0,0.659,1463,32,0.684,0.12,2.0
1020,1020,Existing Customer,50,M,3,High School,Divorced,$120K +,Blue,37,3,1,2,3073.0,1792,1281.0,1.099,1734,35,1.188,0.583,1.0
1021,1021,Existing Customer,48,M,3,College,Married,$80K - $120K,Silver,36,6,2,2,34516.0,0,34516.0,0.691,1733,54,0.636,0.0,0.0
1023,1023,Existing Customer,55,F,2,Post-Graduate,Married,$40K - $60K,Blue,46,6,2,2,6725.0,2025,4700.0,0.604,1865,53,0.767,0.301,2.0
1025,1025,Attrited Customer,42,M,3,Graduate,Married,$80K - $120K,Blue,36,1,1,3,34516.0,781,33735.0,0.803,853,12,0.091,0.023,2.0
1026,1026,Existing Customer,54,M,3,Graduate,Married,$120K +,Blue,46,3,1,3,34516.0,854,33662.0,0.928,1999,54,0.8,0.025,0.0
1027,1027,Existing Customer,57,M,1,Uneducated,Married,$120K +,Blue,36,6,2,3,24545.0,1735,22810.0,0.664,1671,45,0.5,0.071,2.0
1028,1028,Existing Customer,53,F,1,Uneducated,Married,$40K - $60K,Blue,46,5,2,3,1438.3,0,1438.3,0.743,2118,64,0.455,0.0,1.0
1029,1029,Existing Customer,41,F,4,Uneducated,Single,Less than $40K,Blue,31,5,1,2,2490.0,627,1863.0,0.345,1391,45,0.364,0.252,2.0
1030,1030,Existing Customer,39,M,1,Graduate,Single,$120K +,Blue,24,6,2,4,10074.0,2517,7557.0,0.77,1729,52,0.926,0.25,0.0
1031,1031,Existing Customer,45,M,2,Graduate,Divorced,$40K - $60K,Blue,40,3,3,2,2259.0,954,1305.0,0.695,1393,35,0.842,0.422,2.0
1032,1032,Existing Customer,46,M,2,Graduate,Married,$80K - $120K,Silver,35,6,3,2,34516.0,1236,33280.0,0.549,1665,40,0.667,0.036,2.0
1033,1033,Existing Customer,54,M,2,High School,Married,$80K - $120K,Blue,50,4,2,3,9519.0,1936,7583.0,0.929,2489,62,1.0,0.203,0.0
1036,1036,Attrited Customer,56,F,3,High School,Married,$40K - $60K,Blue,51,5,2,1,1438.3,0,1438.3,0.597,594,14,0.556,0.0,0.0
1037,1037,Existing Customer,33,F,4,Post-Graduate,Married,$40K - $60K,Blue,36,4,2,3,2372.0,1887,485.0,0.8,1852,55,0.618,0.796,2.0
1038,1038,Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,34,5,1,2,4214.0,1249,2965.0,0.542,1389,34,0.478,0.296,2.0
1039,1039,Existing Customer,62,F,1,Post-Graduate,Married,Less than $40K,Blue,53,3,1,3,1438.3,0,1438.3,0.699,902,31,0.409,0.0,2.0
1041,1041,Existing Customer,36,F,3,High School,Married,Less than $40K,Blue,26,6,1,4,4331.0,1445,2886.0,1.07,2053,33,1.75,0.334,2.0
1043,1043,Attrited Customer,61,F,0,Graduate,Married,Less than $40K,Blue,49,6,2,3,1438.3,0,1438.3,0.94,840,20,0.818,0.0,0.0
1046,1046,Attrited Customer,35,M,2,Graduate,Married,$80K - $120K,Blue,27,3,2,3,12643.0,0,12643.0,0.393,787,21,0.167,0.0,2.0
1047,1047,Existing Customer,65,F,0,High School,Married,$40K - $60K,Blue,36,5,2,3,6088.0,2145,3943.0,1.371,2098,52,0.733,0.352,2.0
1048,1048,Attrited Customer,36,M,3,Post-Graduate,Married,$120K +,Blue,27,2,1,2,13873.0,0,13873.0,0.233,694,18,0.286,0.0,2.0
1049,1049,Existing Customer,42,F,4,Graduate,Single,Less than $40K,Blue,32,3,2,3,6158.0,0,6158.0,1.411,3132,66,0.784,0.0,0.0
1050,1050,Existing Customer,51,M,1,Uneducated,Married,$80K - $120K,Blue,41,5,3,3,5638.0,808,4830.0,0.781,2036,50,0.613,0.143,2.0
1051,1051,Existing Customer,54,F,1,Uneducated,Married,Less than $40K,Blue,40,5,2,4,2178.0,1144,1034.0,1.585,1724,47,1.043,0.525,2.0
1053,1053,Existing Customer,40,M,5,Graduate,Married,$80K - $120K,Blue,34,6,2,4,11942.0,1651,10291.0,0.598,1085,29,0.208,0.138,2.0
1054,1054,Existing Customer,57,F,2,College,Married,Less than $40K,Blue,44,6,3,2,3914.0,0,3914.0,0.524,1964,54,0.8,0.0,2.0
1055,1055,Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue,49,4,2,4,3038.0,1410,1628.0,0.644,1762,34,0.7,0.464,0.0
1056,1056,Existing Customer,53,M,2,Uneducated,Married,$40K - $60K,Blue,47,3,1,3,5579.0,1423,4156.0,0.503,1514,47,1.136,0.255,1.0
1057,1057,Existing Customer,40,M,2,Graduate,Married,$80K - $120K,Blue,31,5,1,2,18693.0,2052,16641.0,0.5,1516,44,0.63,0.11,0.0
1058,1058,Existing Customer,28,M,0,Graduate,Married,Less than $40K,Blue,18,5,1,3,2943.0,1789,1154.0,1.271,2591,55,0.897,0.608,0.0
1059,1059,Existing Customer,38,F,3,High School,Married,Less than $40K,Blue,28,4,2,3,2435.0,1888,547.0,0.922,1847,39,0.696,0.775,0.0
1060,1060,Existing Customer,37,F,2,Graduate,Married,Less than $40K,Blue,30,5,2,2,2077.0,1392,685.0,1.553,1629,36,1.25,0.67,1.0
1063,1063,Existing Customer,41,M,2,High School,Married,$60K - $80K,Blue,30,6,3,2,9428.0,1765,7663.0,0.587,1457,43,0.593,0.187,2.0
1064,1064,Existing Customer,54,M,5,Graduate,Married,$80K - $120K,Blue,47,4,1,3,6065.0,1728,4337.0,0.417,1114,27,0.688,0.285,0.0
1066,1066,Existing Customer,26,M,1,Graduate,Single,Less than $40K,Blue,13,3,3,2,2174.0,1514,660.0,0.607,2510,44,0.294,0.696,2.0
1069,1069,Existing Customer,46,M,3,Graduate,Divorced,$80K - $120K,Blue,40,6,3,3,3673.0,2292,1381.0,0.637,1257,34,0.545,0.624,2.0
1072,1072,Existing Customer,55,M,1,Graduate,Married,$80K - $120K,Blue,36,3,2,4,34516.0,2102,32414.0,0.912,1612,33,0.737,0.061,2.0
1073,1073,Existing Customer,50,F,1,Post-Graduate,Married,Less than $40K,Blue,43,3,1,3,3368.0,844,2524.0,0.838,2022,59,0.686,0.251,0.0
1074,1074,Attrited Customer,38,F,2,High School,Married,$40K - $60K,Blue,28,3,2,2,7225.0,0,7225.0,0.419,738,16,0.231,0.0,1.0
1075,1075,Existing Customer,39,F,3,Graduate,Single,Less than $40K,Blue,30,5,3,4,5202.0,815,4387.0,1.108,1558,48,0.778,0.157,1.0
1077,1077,Existing Customer,39,M,3,High School,Single,$60K - $80K,Blue,36,4,2,3,6929.0,1691,5238.0,0.534,1388,27,0.929,0.244,2.0
1078,1078,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,44,3,3,2,4364.0,1507,2857.0,1.05,1392,38,1.375,0.345,2.0
